Jp,attractor_robustness,collapse_time,competitor_suppression,cue_gain,cue_rate,cue_response,decay_index,delay_gain,delay_minus_competitor,delay_minus_ns,distractor_drop,distractor_recovery,frac_above_thr,gaba_scale,inhibitory_balance,lambda_delay,lambda_valid,linear_delay_slope,nmda_scale,peak_diff,peak_diff_time,persistent,r1_base,r1_cue,r1_cue_peak,r1_delay,r1_delay_early,r1_delay_late,r1_delay_mean,r1_delay_min,r1_delay_std,r1_during_distr,r1_post_distr,r1_pre_distr,r2_delay,r2_delay_late,r2_delay_mean,r2_delay_min,r2_delay_std,r3_delay,regime,ri_delay,selective_frac,snr_delay,survives_distractor
1.82,33.40330534452887,,7.707774033243845,87.98365960032032,200,True,1.0300509746055448,65.26239054081042,38.54529854724779,39.30612556564678,13.60531817611674,-6.147308550970216,1.0,0.9,0.16881898352603628,0.9408767078250067,True,-1.306618991656906,1.1,44.482207117153166,0.19480000000000008,True,0.6277988804478207,55.23604308276691,79.46821271491407,40.97165578213161,39.15385455495867,40.330466044928976,40.53503360560539,34.40290550446489,2.8555551216137856,40.971495542840145,34.82418699186993,54.576813718956885,2.4263572348838247,2.6297417752447525,2.292225966756155,0.8330001332800212,0.8647721004903386,1.6655302164848347,persistent,6.916793282686924,1.0,16.886077275099716,1.0
1.84,36.65200586432095,,7.719864435178309,94.46070037755445,200,True,1.0315622214119795,76.25099938385212,43.43151072904174,44.1093296808261,12.477139953075948,-7.177214971620849,1.0,0.9,0.1546380015398192,1.0507404899685804,True,-0.3506994041831112,1.1,50.31320805011331,0.19418000000000002,True,0.6014427562308409,56.81270408503268,83.79981340797019,45.860611311031164,43.909750636837856,45.295639909614096,45.33331905333107,37.56830601092897,3.1739851566399424,45.8604583409398,38.68324336931895,58.33759829401575,2.429100581989426,2.6175704894685237,2.28013556482169,0.7497001199520192,0.820968697925576,1.7512816302050607,persistent,7.091793282686924,1.0,18.87966749182193,1.0
1.85,39.984006397441036,,8.19921555187449,95.8150323536898,200,True,1.0449129430574982,75.47580369208725,45.48888777822205,45.65277738111106,12.599731554466935,-6.037074834088756,1.0,0.9,0.14898363595628222,1.0267764026880521,True,2.7918682600672087,1.1,54.47820871651342,0.19344000000000006,True,0.627832200453152,60.15576269492205,84.88271358123421,47.386139988449074,45.292737400807205,47.326967537652784,47.03845604615299,41.15020658403307,3.2869151672833246,47.38608522993044,41.34901039584168,59.98581678439737,1.8972522102270202,2.0857763635869033,1.8007844481255117,0.5831000932960149,0.6186638590862369,1.733362607338017,persistent,7.059759429561508,1.0,24.97619436574686,1.0
1.86,39.73410635745703,,8.4108118657299,97.37642985388436,200,True,1.077519383288113,81.8599668084847,47.47440468257144,47.545878474007246,12.929289647457544,-5.290550194383506,1.0,0.9,0.14392121077842682,0.9640994847532547,True,7.65910368383736,1.1,57.06050912968149,0.19358000000000009,True,0.6014427562308409,58.56634846061578,88.21471411435431,49.23408414412015,46.142044415320605,49.71894724312649,48.90035890405744,41.23350659736107,3.6535229209983093,49.2340894453498,43.943539250966296,62.16337909280735,1.7596794615487137,1.6410246993057194,1.5891881342701013,0.16660002665600426,0.6441661692708739,1.688205670112907,persistent,7.085829001732638,1.0,27.979007081670247,1.0
1.88,44.48220711715316,,8.443717750994841,103.41829177393258,200,True,1.0679240331859032,86.05848311931294,52.327385712381734,52.27734263437485,12.096936997186702,-6.503878232277074,1.0,0.9,0.1337794153897292,0.6425439099569202,True,8.752667968983948,1.1,60.72570971611358,0.1925,True,0.6278488604558176,64.93105674396911,88.88111422097832,54.031720645075325,50.70174156558801,54.145608343340015,53.67298318767733,45.398507263761175,3.6650347098656413,54.03163379671798,47.52775556444091,66.12857079390469,1.7043349326935893,1.7757195215501322,1.5562822490051598,0.08330001332800213,0.6610965490482883,1.7543780107004814,persistent,7.228332000533118,1.0,31.702524883403765,1.0
1.9,50.89630814340932,,8.902181984349118,109.06242364137508,200,True,1.0425769742366633,97.6968604100419,57.526100670842794,57.05165830493201,10.820879263342555,-6.137054229926811,1.0,0.9,0.12364829115801265,0.5227942359459608,True,5.817901863507467,1.1,64.9740103958417,0.1679400000000001,True,0.6014260962281752,65.59298780487808,94.54551512728247,58.75744146785732,56.106381682480006,58.49522165092993,58.451633632261405,51.229508196721326,3.1489704235567135,58.75738942918047,52.62033519925366,69.57826869252303,1.2313407970145274,1.1399031019952148,1.0978180156508826,0.0,0.478241472804794,1.705783162925306,persistent,7.265257230441156,1.0,47.718260909246744,1.0
1.75,11.828601892576309,,5.107623617219779,69.78791551167116,200,True,0.8433496844124864,35.95909640841533,20.660069305611103,23.503888920622238,18.871108678646326,-8.768840897078942,1.0,0.8,0.30003539183871136,2.131707031056503,True,-24.669158087320454,1.1,31.820605091296827,0.00012000000000000899,True,0.709516193522591,49.51565623750501,71.13821138211385,25.51356124216981,26.125189462973733,22.03267028965866,24.57613145218104,16.66000266560043,3.5242877048566235,25.513293116191303,16.74445221911236,44.38440179483763,4.85349193655871,6.6946958051867895,4.892376382780221,1.249500199920032,2.237377047773229,2.0096723215475714,persistent,7.654971344795413,1.0,5.256743303668296,1.0
1.78,21.99120351859257,,5.674549227927877,73.9485512076951,200,True,0.9590115826488311,46.09564039939566,28.82494224532411,31.213933870896103,16.143083460939707,-7.4951501345110145,1.0,0.8,0.24040766636705807,0.7771718910713608,True,-12.60736810735163,1.1,37.06850593096096,0.0038000000000000256,True,0.7216280154604825,53.36334632813543,74.55351192856193,33.26390554889157,32.58043246741829,31.245012104921184,32.49817691970832,24.74010395841664,3.1133623422602175,33.26377601749116,25.768625882980146,49.40685947843087,4.438963303567461,5.316797424477749,4.325450772072123,1.4161002265760363,1.6961907946667283,2.0499716779954684,persistent,7.996897907503663,1.0,7.493620304241928,1.0
1.8,26.572704251632686,,6.54982768797243,81.56056011439938,200,True,0.9539068334227929,55.977332424083436,35.415350526456095,36.918210096913626,14.392960671578024,-9.15264330905196,1.0,0.8,0.20817253886981607,0.6601045998398374,True,-14.644537493481755,1.1,41.06690657070507,0.0007599999999999829,True,0.696754631480741,56.82769808743172,78.30201252832204,39.00246568039452,38.27178386793654,36.50771615985878,38.07482721197237,28.488604558176736,3.3191113487031014,39.00223680498693,29.84959349593497,53.39519747656495,3.587115153938424,4.228766654472282,3.45017231202757,1.1662001865920297,1.3977594906952204,2.084255583480893,persistent,8.119242303078767,1.0,10.872933818893259,1.0
1.82,34.069705451152885,,6.572651891624303,82.6951004372171,200,True,1.0079165161450194,60.78127949831832,40.278971744635484,41.65730017516803,12.791280702719405,-7.246176536607102,1.0,0.8,0.19013059078813635,0.263797663616925,True,-3.8474685633351533,1.1,45.315207250433176,0.000260000000000038,True,0.7215613754498201,59.6695904971345,81.13421298147412,43.8574236971878,42.73593835144741,43.07425809838711,43.315526170484205,35.735705717712925,2.676160871533229,43.85734873439466,36.61117219778756,56.64862943711407,3.5784519525523124,4.12176817048144,3.4273481083756976,1.1662001865920297,1.3482839456213485,2.2001235220197635,persistent,8.338637878182057,1.0,12.255976681103888,1.0
